AE2WTLib,15.3.3-forge
Advanced AE,1.3.6-1.20.1
Apotheosis,7.4.8
Apothic Attributes,1.3.7
AppleSkin,2.5.1+mc1.20.1
Applied Botanics,1.5.2
Applied Energistics 2,15.4.10
Applied KubeJS,1.0.0
AppliedE,0.14.3
AppliedFlux,1.20-1.3.7-forge
Architectury,9.2.14
Balm,7.3.43
Better Advancements,0.6.0.73
Blood Magic,3.3.8-50
Bookshelf,20.2.15
Botania,1.20.1-455-FORGE
Botanical Machinery,1.20.1-3.0.10
BotanyPots,13.0.43
BotanyPotsTiers,6.0.1
Brandon's Core,3.2.1.302
Cloth Config v10 API,11.1.136
Cobble For Days,1.8.0
CodeChicken Lib,4.4.0.528
Compressium,3.0.2-build.12+mc1.20
Controlling,12.0.2
CraftingTweaks,18.2.9
Cucumber Library,7.0.16
Curios API,5.14.1+1.20.1
Default World Type,1.20.1-4.0.5
Draconic Evolution,3.1.2.621
EMI,1.1.22+1.20.1+forge
Embeddium,0.3.31+mc1.20.1
Extended Crafting,6.0.10
Extended Crafting: Expanded,6.1.5u
ExtendedAE,1.20-1.4.18-forge
Extreme Reactors,1.20.1-2.0.84
FTB Library,2001.2.13
FTB Quests,2001.4.22
FTB Teams,2001.3.2
Fast IP Ping,1.0.11
Fast Suite,5.1.2
Fast Workbench,8.0.4
FastFurnace,8.0.2
Ferrite Core,6.0.1
Forgiving Void,10.0.3
Gateways To Eternity,4.2.6
GeckoLib 4,4.8.4
Glodium,1.20-1.5-forge
Gravestone Mod,1.20.1-1.0.35
GregTech,7.5.3
GuideME,20.1.15
Hostile Neural Networks,5.3.3
ImmediatelyFast,1.5.5+1.20.4
Jade,11.13.3+forge
JamLib,1.3.6+1.20.1-patch.1
Just Enough Botania,0.2.1
Just Enough Items,15.59.0.211
KubeJS,2001.6.5-build.26
KubeJS Mystical Agriculture,0.1.0
KubeJS Nature's Aura,1.0.2
KubeJS ProjectE,1.0
Kubejs Extended Crafting,2001.5
LibX,1.20.1-5.0.14
Lychee Tweaker,5.2.1+forge
McJtyLib,1.20-8.0.8
ModernFix,5.27.83+mc1.20.1
Mouse Tweaks,2.25.1
Mystical Agradditions,7.0.12
Mystical Agriculture,7.0.24
Mystical Agriculture Tiered Crystals,1.6.0
Mystical Customization,5.0.3
MythicBotany,1.20.1-4.0.4
NaturesAura,39.4
No Chat Reports,1.20.1-v2.2.3
Open Parties and Claims,0.31.6
PackagedAuto,3.4.15.46
PackagedAvaritia:Re,2.2.2.13
PackagedDraconic,3.1.2.9
PackagedExCrafting,3.4.0.21
PackagedExExCrafting,1.0.0.6
PackagedExExExCrafting,1.0.0.0
Patchouli,1.20.1-85-FORGE
Placebo,8.6.3
Polymorph,0.49.11+1.20.1
Polymorphic Energistics,0.1.1-1.20.1
Powah,5.0.11
Pretty Pipes: Fluids,2.0.2
PrettyPipes,1.15.0
Project Expansion,1.20.1-1.1.3
ProjectE,1.0.1
RFToolsBase,1.20-5.0.7
Rapid Leaf Decay,2.0.2
Re-Avaritia,1.4.2
Rhino,2001.2.3-build.10
Right Click Harvest,4.6.1+1.20.1
Sanguine Neural Networks,1.1.1
Searchables,1.0.3
Simple Inventory Sorter (Configurable),23.1.9
Simple Magnets,1.1.12
Skyblock Builder,1.20.1-5.1.33
Squat Grow,5.3.0+mc1.20.1
Storage Drawers,12.15.0
Super Factory Manager (SFM),4.34.0
SuperMartijn642's Config Library,1.1.8
SuperMartijn642's Core Lib,1.1.24+a
Trash Cans,1.1.0+a
TrashSlot,15.1.5
Void Miners,1.20.1-1.9.26.2
Waystones,14.1.21
XNet,${version}
Xaero's Minimap,26.5.0
Xaero's World Map,1.46.0
Yeetus Experimentus,2.3.0-build.4+mc1.20.1
Zero CORE 2,1.20.1-2.1.45
mangomultiblock,1.3.0
